first_timestamp,final_timestamp,first_close,final_close,underlying_price_change_percent,eligible_minutes,trading_sessions,buy_and_hold_final_wealth,buy_and_hold_profit_loss,buy_and_hold_return_percent,target_net_profit_percent,required_reference_price_rise_percent,initial_capital,final_cash,open_lots,open_lot_cost_basis,open_liquidation_value,unrealized_pnl_on_open_lots,final_total_wealth,final_profit_loss,return_percent,buys,sales,skipped_buys,participation_percent_of_eligible_minutes,realized_profit_before_final_liquidation,max_open_lots,average_holding_minutes_closed,maximum_holding_minutes_closed,oldest_open_lot_age_minutes,closed_within_1_hour_percent,closed_within_1_day_percent,closed_within_7_days_percent,closed_within_30_days_percent,maximum_drawdown_percent,maximum_drawdown_timestamp
1578355200,1736208000,7780.17,102263.0,1214.405726353023,2630881,1828,3934.5516342310043,3634.5516342310043,1211.5172114103348,1.0,1.222444666889122,300.0,0.34999999909894997,1603,1603.0,1543.176661317004,-59.82333868299611,1543.526661316103,1243.526661316103,414.50888710536765,131938,130335,2498943,5.0149740714232225,1303.3499999989597,1603,20190.368841830666,1224691,30683,12.199332489354356,72.30137722024016,90.59193616449917,95.98189281466989,76.60961279366107,1669067460
1578355200,1736208000,7780.17,102263.0,1214.405726353023,2630881,1828,3934.5516342310043,3634.5516342310043,1211.5172114103348,2.0,2.2246470893335424,300.0,0.3599999990133256,2169,2169.0,2078.5931546956967,-90.40684530430326,2078.95315469471,1778.95315469471,592.9843848982367,95637,93468,2535244,3.6351701198191786,1869.35999999859,2169,36014.16616382077,1226459,31646,3.506012753027774,52.931484572260025,83.28946805323747,92.64026190781873,77.24196329256785,1669067460
1578355200,1736208000,7780.17,102263.0,1214.405726353023,2630881,1828,3934.5516342310043,3634.5516342310043,1211.5172114103348,3.0,3.226849511778007,300.0,0.9199999988281888,2599,2599.0,2494.9677030406015,-104.03229695939854,2495.8877030394297,2195.8877030394297,731.9625676798099,79263,76664,2551618,3.01279305297351,2299.9200000000596,2599,51164.076685276006,1248494,31656,0.916988416988417,38.82656788062194,74.79781905457581,89.06005426275696,77.37659646295354,1669067460
1578355200,1736208000,7780.17,102263.0,1214.405726353023,2630881,1828,3934.5516342310043,3634.5516342310043,1211.5172114103348,4.0,4.22905193422245,300.0,0.11999999927223826,2722,2722.0,2617.8308111028664,-104.16918889713361,2617.9508111021387,2317.9508111021387,772.6502703673794,63275,60553,2567606,2.405087877406846,2422.1199999983774,2722,65680.22936931283,1252856,31720,0.47561640216009116,28.93498257724638,68.21627334731558,85.27570888312718,77.45716278648254,1669067460
1578355200,1736208000,7780.17,102263.0,1214.405726353023,2630881,1828,3934.5516342310043,3634.5516342310043,1211.5172114103348,5.0,5.2312543566669145,300.0,0.299999999222905,3034,3034.0,2928.8791713387786,-105.12082866122137,2929.1791713380017,2629.1791713380017,876.3930571126672,57720,54686,2573161,2.193941877264688,2734.3000000011816,3034,79445.10269538821,1256669,47333,0.08411659291226274,24.011630033280912,62.91372563361738,82.13802435723952,77.52179109541653,1669067460
1578355200,1736208000,7780.17,102263.0,1214.405726353023,2630881,1828,3934.5516342310043,3634.5516342310043,1211.5172114103348,6.0,6.233456779111335,300.0,0.3999999990044927,3179,3179.0,3088.3337210325544,-90.66627896744558,3088.733721031559,2788.733721031559,929.5779070105198,51169,47990,2579712,1.9449378364129735,2879.399999997865,3179,95160.2323817462,1256712,47338,0.014586372160866848,20.70014586372161,56.292977703688265,79.14357157741196,77.52286983718338,1669067460
1578355200,1736208000,7780.17,102263.0,1214.405726353023,2630881,1828,3934.5516342310043,3634.5516342310043,1211.5172114103348,7.000000000000001,7.2356592015558,300.0,0.140000000213945,3366,3366.0,3273.064050833683,-92.93594916631719,3273.204050833897,2973.204050833897,991.0680169446323,47168,43802,2583713,1.7928595021971727,3066.140000001772,3366,110568.67869047076,1571808,47358,0.006849002328660792,18.93977443952331,51.21912241450162,77.54668736587371,77.51216738061363,1669067460
1578355200,1736208000,7780.17,102263.0,1214.405726353023,2630881,1828,3934.5516342310043,3634.5516342310043,1211.5172114103348,8.0,8.237861624000242,300.0,0.39999999994742375,3280,3280.0,3197.474311260793,-82.525688739207,3197.8743112607403,2897.8743112607403,965.9581037535802,40535,37255,2590346,1.5407386347006953,2980.3999999984494,3280,125988.27717084956,1573882,47367,0.0,14.449067239296738,44.35109381291102,76.08911555495906,77.51146796168288,1669067460
1578355200,1736208000,7780.17,102263.0,1214.405726353023,2630881,1828,3934.5516342310043,3634.5516342310043,1211.5172114103348,9.0,9.240064046444685,300.0,0.8399999997770919,3447,3447.0,3351.2306880039455,-95.76931199605451,3352.0706880037224,3052.0706880037224,1017.3568960012409,38423,34976,2592458,1.4604613435575384,3147.8400000009656,3447,140552.06312900275,1574149,66043,0.0,10.907479414455628,39.015324794144554,74.42817932296431,77.49715563518069,1669067460
1578355200,1736208000,7780.17,102263.0,1214.405726353023,2630881,1828,3934.5516342310043,3634.5516342310043,1211.5172114103348,10.0,10.242266468889127,300.0,-6.224354365258478e-11,3501,3501.0,3486.0967086275077,-14.903291372492276,3486.0967086274454,3186.0967086274454,1062.0322362091486,35511,32010,2595370,1.349775987587428,3200.999999998184,3501,152769.99678225553,1602014,67011,0.0,6.825991877538269,40.64979693845673,73.56451109028428,77.5109592075243,1669067460
