month,timestamp,close,buys,take_profit_sales,timeout_sales,skipped_buys,take_profit_pnl,timeout_pnl,net_realized_pnl,withdrawn_this_month,total_withdrawn,cash,open_lots,open_liquidation_value,account_liquidation_value,total_wealth_including_withdrawals
2021-11,1638316740,56974.12,895,849,50,42305,0.849,-4.507155292070198,-3.658155292070223,0.0,0.0,0.8270403554420178,22,21.079174623745367,21.906214979187386,21.906214979187386
2021-12,1640995140,46214.37,714,656,62,43926,0.656,-5.289760596382853,-4.633760596382727,0.0,0.0,0.19327975905897254,18,15.979075803668533,16.172355562727503,16.172355562727503
2022-01,1643673540,38491.92,606,550,62,44034,0.55,-6.54688851345917,-5.996888513459122,0.0,0.0,0.19639124559960974,12,11.909524486358213,12.105915731957824,12.105915731957824
2022-02,1646092740,43178.98,1058,1037,23,39262,1.037,-2.588002198746188,-1.5510021987462244,0.0,0.0,0.6453890468530492,10,9.860125544838008,10.505514591691057,10.505514591691057
2022-03,1648771140,45517.27,540,520,20,44100,0.52,-1.0789181831835104,-0.5589181831835102,0.0,0.0,0.0864708636693865,10,9.4304369181945,9.516907781863887,9.516907781863887
2022-04,1651363140,37639.8,258,234,27,42942,0.234,-2.4945512440303754,-2.2605512440303923,0.0,0.0,0.8259196196389533,7,6.5270889783899895,7.353008598028943,7.353008598028943
2022-05,1654041540,31762.76,242,225,19,44398,0.225,-2.372893423676944,-2.1478934236769684,0.0,0.0,0.6780261959619747,5,4.911150573195874,5.589176769157849,5.589176769157849
2022-06,1656633540,19924.89,201,190,13,42999,0.19,-2.2230884566632003,-2.0330884566632146,0.0,0.0,0.6449377392987476,3,2.7357852992402627,3.3807230385390103,3.3807230385390103
2022-07,1659311940,23322.53,384,375,9,44256,0.375,-0.9842701168673084,-0.609270116867308,0.0,0.0,0.035667622431398094,3,2.8386717018006835,2.8743393242320816,2.8743393242320816
2022-08,1661990340,20059.0,69,63,7,44571,0.063,-0.6329849996941452,-0.5699849996941452,0.0,0.0,0.4656826227372459,2,1.9709429523345607,2.4366255750718064,2.4366255750718064
2022-09,1664582340,19425.0,129,127,2,43071,0.127,-0.29700841667318667,-0.17000841667318656,0.0,0.0,0.2956742060640454,2,1.9064417960090778,2.202116002073123,2.202116002073123
2022-10,1667260740,20498.0,92,86,6,44548,0.08600000000000001,-0.2866753657382195,-0.20067536573821942,0.0,0.0,0.0949988403258164,2,1.9435084361015735,2.03850727642739,2.03850727642739
2022-11,1669852740,17170.0,45,43,3,43155,0.043000000000000003,-0.4898573582060709,-0.44685735820607086,0.0,0.0,0.6481414821197409,1,0.9967574767011123,1.6448989588208531,1.6448989588208531
2022-12,1672531140,16528.0,31,29,2,44609,0.029,-0.11646748710585653,-0.0874674871058565,0.0,0.0,0.560673995013881,1,0.9729603750715987,1.5336343700854798,1.5336343700854798
2023-01,1675209540,23127.0,89,88,1,44551,0.088,-0.01956346522305863,0.06843653477694144,0.0,0.0,0.6291105297908128,1,0.9654092168752422,1.594519746666055,1.594519746666055
2023-02,1677628740,23136.0,37,35,2,40283,0.035,-0.10459953671622502,-0.06959953671622499,0.0,0.0,0.5595109930745841,1,0.9571754180581894,1.5166864111327736,1.5166864111327736
2023-03,1680307140,28476.0,101,99,2,44539,0.099,-0.17523222192557975,-0.07623222192557966,0.0,0.0,0.4832787711489934,1,0.9769098037656494,1.4601885749146428,1.4601885749146428
2023-04,1682899140,29235.0,47,45,2,43153,0.045,-0.13879496152792103,-0.093794961527921,0.0,0.0,0.3894838096210673,1,0.9745023611096549,1.3639861707307221,1.3639861707307221
2023-05,1685577540,27219.0,39,36,3,44601,0.036000000000000004,-0.1834679476247162,-0.14746794762471616,0.0,0.0,0.24201586199634706,1,0.9557708334616282,1.1977866954579752,1.1977866954579752
2023-06,1688169540,30469.0,69,66,3,43131,0.066,-0.14923732316051652,-0.08323732316051646,0.0,0.0,0.15877853883582338,1,0.99123086501031,1.1500094038461333,1.1500094038461333
2023-07,1690847940,29231.0,29,26,3,44611,0.026000000000000002,-0.13339854511348892,-0.1073985451134889,0.0,0.0,0.051379993722331374,1,0.9887708477790034,1.0401508415013347,1.0401508415013347
2023-08,1693526340,25932.0,8,7,2,44632,0.007,-0.14992070957884918,-0.14292070957884917,0.0,0.0,0.9084592841434814,0,2.2786654002832554e-12,0.90845928414576,0.90845928414576
2023-09,1696118340,26966.0,0,0,0,43200,0.0,0.0,0.0,0.0,0.0,0.9084592841434814,0,2.3695238000940255e-12,0.908459284145851,0.908459284145851
2023-10,1698796740,34661.0,0,0,0,44640,0.0,0.0,0.0,0.0,0.0,0.9084592841434814,0,3.0456895511035755e-12,0.9084592841465271,0.9084592841465271
2023-11,1701388740,37719.0,0,0,0,43200,0.0,0.0,0.0,0.0,0.0,0.9084592841434814,0,3.3143984356503203e-12,0.9084592841467958,0.9084592841467958
2023-12,1704067140,42258.0,0,0,0,44640,0.0,0.0,0.0,0.0,0.0,0.9084592841434814,0,3.7132439644134585e-12,0.9084592841471947,0.9084592841471947
2024-01,1706745540,42558.0,0,0,0,44640,0.0,0.0,0.0,0.0,0.0,0.9084592841434814,0,3.739605202269581e-12,0.908459284147221,0.908459284147221
2024-02,1709251140,61161.0,0,0,0,41760,0.0,0.0,0.0,0.0,0.0,0.9084592841434814,0,5.374265561727756e-12,0.9084592841488557,0.9084592841488557
2024-03,1711929540,71285.0,0,0,0,44640,0.0,0.0,0.0,0.0,0.0,0.9084592841434814,0,6.263869468579048e-12,0.9084592841497453,0.9084592841497453
2024-04,1714521540,60632.0,0,0,0,43200,0.0,0.0,0.0,0.0,0.0,0.9084592841434814,0,5.327781912308127e-12,0.9084592841488092,0.9084592841488092
2024-05,1717199940,67477.0,0,0,0,44640,0.0,0.0,0.0,0.0,0.0,0.9084592841434814,0,5.929257489391996e-12,0.9084592841494107,0.9084592841494107
2024-06,1719791940,62676.0,0,0,0,43200,0.0,0.0,0.0,0.0,0.0,0.9084592841434814,0,5.507389812901177e-12,0.9084592841489888,0.9084592841489888
2024-07,1722470340,64612.0,0,0,0,44640,0.0,0.0,0.0,0.0,0.0,0.9084592841434814,0,5.677507667866023e-12,0.9084592841491589,0.9084592841491589
2024-08,1725148740,58967.0,0,0,0,44640,0.0,0.0,0.0,0.0,0.0,0.9084592841434814,0,5.181477042206645e-12,0.908459284148663,0.908459284148663
2024-09,1727740740,63302.0,0,0,0,43200,0.0,0.0,0.0,0.0,0.0,0.9084592841434814,0,5.5623969292276196e-12,0.9084592841490439,0.9084592841490439
2024-10,1730419140,70231.0,0,0,0,44640,0.0,0.0,0.0,0.0,0.0,0.9084592841434814,0,6.171253652911203e-12,0.9084592841496527,0.9084592841496527
2024-11,1733011140,96441.0,0,0,0,43200,0.0,0.0,0.0,0.0,0.0,0.9084592841434814,0,8.474347133607799e-12,0.9084592841519558,0.9084592841519558
2024-12,1735689540,93381.0,0,0,0,44640,0.0,0.0,0.0,0.0,0.0,0.9084592841434814,0,8.205462507475345e-12,0.9084592841516869,0.9084592841516869
2025-01,1736208000,102263.0,0,0,0,8641,0.0,0.0,0.0,0.0,0.0,0.9084592841434814,0,8.985930889602289e-12,0.9084592841524674,0.9084592841524674
