month,timestamp,close,buys,sales,skipped_buys,realized_profit_this_month,withdrawn_this_month,total_withdrawn,cash,open_lots,open_liquidation_value,account_liquidation_value,total_wealth_including_withdrawals
2020-01,1580515140,9327.85,18134,17817,17866,17.816999999998792,0.8169999999839739,0.8169999999839739,0.0,317,310.9105633777939,310.9105633777939,311.72756337777787
2020-02,1583020740,8527.74,12003,11992,29757,11.991999999998793,0.991999999970175,1.8089999999541488,0.0,328,269.6393327442479,269.6393327442479,271.44833274420205
2020-03,1585699140,6421.14,0,0,44640,0.0,0.0,1.8089999999541488,0.0,328,203.03056906723234,203.03056906723234,204.8395690671865
2020-04,1588291140,8627.32,0,0,43200,0.0,0.0,1.8089999999541488,0.0,328,272.7879611914886,272.7879611914886,274.59696119144274
2020-05,1590969540,9446.19,0,0,44640,0.0,0.0,1.8089999999541488,0.0,328,298.6798810206909,298.6798810206909,300.48888102064507
2020-06,1593561540,9132.96,4889,4885,38311,4.884999999999966,0.8850000000124183,2.693999999966567,0.0,332,300.55731157798385,300.55731157798385,303.25131157795045
2020-07,1596239940,11356.74,6797,6989,37843,6.989000000000669,38.98899999998639,41.682999999952955,159.99999999999997,140,139.49367638912125,299.4936763891212,341.17667638907415
2020-08,1598918340,11655.0,7674,7507,36966,7.507000000000842,0.5069999999943278,42.18999999994728,0.0,307,289.7896082186094,289.7896082186094,331.9796082185567
2020-09,1601510340,10778.22,0,0,43200,0.0,0.0,42.18999999994728,0.0,307,267.98937375323726,267.98937375323726,310.17937375318456
2020-10,1604188740,13816.08,8309,8396,36331,8.396000000000786,15.395999999982678,57.58599999992996,80.0,220,218.51292678901854,298.51292678901854,356.0989267889485
2020-11,1606780740,19700.19,22668,22858,20532,22.858000000004953,22.85799999994839,80.44399999987834,270.0,30,29.87933482839102,299.879334828391,380.32333482826937
2020-12,1609459140,28992.79,26768,26582,17872,26.582000000009504,26.58199999994156,107.0259999998199,84.00000000000003,216,214.41334211983167,298.41334211983167,405.43934211965154
2021-01,1612137540,33141.38,12735,12639,31905,12.638999999998434,0.6389999999483829,107.66499999976828,0.0,312,253.29539533073387,253.29539533073387,360.96039533050214
