month,timestamp,close,buys,sales,skipped_buys,realized_profit_this_month,withdrawn_this_month,total_withdrawn,cash,open_lots,open_liquidation_value,account_liquidation_value,total_wealth_including_withdrawals
2021-02,1614556740,45240.96,20499,20479,19821,20.479000000002046,0.47899999983076214,56.94799999931505,0.0,391,309.5346394555385,309.5346394555385,366.4826394548536
2021-03,1617235140,58782.58,7818,7811,36822,7.811000000000943,0.8109999999896882,57.75899999930474,0.0,398,384.99076403757607,384.99076403757607,442.74976403688083
2021-04,1619827140,57775.27,6813,6807,36387,6.807000000000608,0.8069999999611603,58.5659999992659,0.0,404,368.01302715867047,368.01302715867047,426.57902715793637
2021-05,1622505540,37341.41,0,0,44640,0.0,0.0,58.5659999992659,0.0,404,237.85480072136494,237.85480072136494,296.42080072063084
2021-06,1625097540,35037.23,0,0,43200,0.0,0.0,58.5659999992659,0.0,404,223.1777900052148,223.1777900052148,281.74379000448073
2021-07,1627775940,41490.13,0,0,44640,0.0,0.0,58.5659999992659,0.0,404,264.28103821075644,264.28103821075644,322.84703821002233
2021-08,1630454340,47156.09,0,0,44640,0.0,0.0,58.5659999992659,0.0,404,300.37168895734646,300.37168895734646,358.93768895661236
2021-09,1633046340,43834.43,0,0,43200,0.0,0.0,58.5659999992659,0.0,404,279.2136026032391,279.2136026032391,337.779602602505
2021-10,1635724740,61359.44,4555,4551,40085,4.5509999999998545,0.5509999999903226,59.11699999925622,0.0,408,381.3445314136658,381.3445314136658,440.461531412922
2021-11,1638316740,56974.12,5725,5720,37475,5.720000000000245,0.7199999999961904,59.83699999925241,0.0,413,350.8306045769516,350.8306045769516,410.667604576204
2021-12,1640995140,46214.37,0,0,44640,0.0,0.0,59.83699999925241,0.0,413,284.5750907121152,284.5750907121152,344.41209071136757
2022-01,1643673540,38491.92,0,0,44640,0.0,0.0,59.83699999925241,0.0,413,237.0224158780803,237.0224158780803,296.8594158773327
2022-02,1646092740,43178.98,0,0,40320,0.0,0.0,59.83699999925241,0.0,413,265.8840129240452,265.8840129240452,325.7210129232976
2022-03,1648771140,45517.27,0,0,44640,0.0,0.0,59.83699999925241,0.0,413,280.2825450009994,280.2825450009994,340.11954500025183
2022-04,1651363140,37639.8,0,0,43200,0.0,0.0,59.83699999925241,0.0,413,231.77530061290187,231.77530061290187,291.6123006121543
