month,timestamp,close,buys,sales,skipped_buys,realized_profit_this_month,withdrawn_this_month,total_withdrawn,cash,open_lots,open_liquidation_value,account_liquidation_value,total_wealth_including_withdrawals
2021-07,1627775940,41490.13,0,0,44640,0.0,0.0,0.0,0.7159999988960166,476,312.4077006852766,313.1237006841726,313.1237006841726
2021-08,1630454340,47156.09,0,0,44640,0.0,0.0,0.0,0.7159999988960166,476,355.07060715905124,355.78660715794723,355.78660715794723
2021-09,1633046340,43834.43,0,0,43200,0.0,0.0,0.0,0.7159999988960166,476,330.05954638247,330.775546381366,330.775546381366
2021-10,1635724740,61359.44,7233,7226,37407,7.226000000000748,0.0,0.0,0.9419999988852936,483,453.8430387265367,454.785038725422,454.785038725422
2021-11,1638316740,56974.12,7101,7093,36099,7.093000000000703,0.0,0.0,0.034999998868787685,491,418.5978952428677,418.6328952417365,418.6328952417365
2021-12,1640995140,46214.37,0,0,44640,0.0,0.0,0.0,0.034999998868787685,491,339.5443055895401,339.5793055884089,339.5793055884089
2022-01,1643673540,38491.92,0,0,44640,0.0,0.0,0.0,0.034999998868787685,491,282.80624072573374,282.8412407246025,282.8412407246025
2022-02,1646092740,43178.98,0,0,40320,0.0,0.0,0.0,0.034999998868787685,491,317.24281387292825,317.27781387179704,317.27781387179704
2022-03,1648771140,45517.27,0,0,44640,0.0,0.0,0.0,0.034999998868787685,491,334.4226013355067,334.4576013343755,334.4576013343755
2022-04,1651363140,37639.8,0,0,43200,0.0,0.0,0.0,0.034999998868787685,491,276.5455799468687,276.5805799457375,276.5805799457375
2022-05,1654041540,31762.76,0,0,44640,0.0,0.0,0.0,0.034999998868787685,491,233.36603501913407,233.40103501800286,233.40103501800286
2022-06,1656633540,19924.89,0,0,43200,0.0,0.0,0.0,0.034999998868787685,491,146.39132674529526,146.42632674416404,146.42632674416404
2022-07,1659311940,23322.53,0,0,44640,0.0,0.0,0.0,0.034999998868787685,491,171.35432666162527,171.38932666049405,171.38932666049405
2022-08,1661990340,20059.0,0,0,44640,0.0,0.0,0.0,0.034999998868787685,491,147.37665418398183,147.4116541828506,147.4116541828506
2022-09,1664582340,19425.0,0,0,43200,0.0,0.0,0.0,0.034999998868787685,491,142.718555637063,142.75355563593178,142.75355563593178
