asset_type,ticker,best_target_percent,total_contributed,best_final_wealth,best_profit_loss,best_simple_return_percent,best_money_weighted_annual_return_percent,dca_final_wealth,dca_simple_return_percent,dca_money_weighted_annual_return_percent,excess_final_wealth_vs_dca,excess_simple_return_vs_dca_points,buys,sales,open_lots,participation_percent,average_holding_days,cash_flow_adjusted_maximum_drawdown_percent
crypto,BTCUSD,2.0,3600.0,4332.383840644943,732.3838406449431,20.343995573470643,39.468943329899865,4134.003190392923,14.833421955358972,28.401283464990346,198.38065025202013,5.510573618111671,70777,65860,4917,13.465943683409437,8.309940783480108,27.77972691400153
etf,DIA,9.0,3600.0,3619.1890444408978,19.18904444089776,0.5330290122471659,0.9880418342695818,3615.5933717980843,0.43314921661345984,0.8026738257569721,3.595672642813497,0.09987979563370608,4304,646,3658,4.420479638473784,66.6735713364293,9.210190808362924
etf,QQQ,10.0,3600.0,4109.49720719867,509.49720719867037,14.152700199963064,27.200143747349102,4133.644334090509,14.823453724736368,28.53678655463646,-24.147126891838525,-0.6707535247733034,10961,6692,4269,11.218693387101727,63.61923150361958,12.367205153283194
etf,SPY,10.0,3600.0,3757.277550038709,157.2775500387088,4.368820834408571,8.185010957255868,3764.026848221836,4.55630133949545,8.540620167376433,-6.749298183127394,-0.18748050508687886,6500,2637,3863,6.650024553936815,139.50370133358615,8.971054284861605
stock,AAPL,4.0,3600.0,3905.85542041643,305.8554204164302,8.495983900456405,16.09400461707343,3873.3291879575136,7.592477443264256,14.348286763430485,32.52623245891664,0.9035064571921492,24571,20165,4406,25.136830044297128,22.800943810783263,21.51348799522553
stock,AMZN,4.0,3600.0,4435.314630058741,835.3146300587414,23.203184168298364,45.57194610273011,4265.165555228685,18.476820978574573,35.888128976935555,170.14907483005663,4.726363189723791,36266,31410,4856,37.09355726252698,19.91796886607238,32.73462078838648
stock,META,10.0,3600.0,5639.858694520206,2039.858694520206,56.66274151445017,119.10355389964269,6306.353913038829,75.17649758441192,163.0319376950101,-666.495218518623,-18.51375606996175,28472,22611,5861,29.164959436204214,25.725756975464254,36.3999683115245
stock,MSFT,5.0,3600.0,4267.297134614205,667.2971346142049,18.536031517061247,36.008249037432705,4125.555252583372,14.598757016204766,28.08856603125426,141.74188203083304,3.9372745008564802,25509,20866,4643,26.130915795943455,23.5062091640308,16.368327185975556
stock,TSLA,7.000000000000001,3600.0,4472.055869685578,872.0558696855778,24.22377415793271,47.68798428651498,4496.117153722558,24.892143158959957,49.07845862058776,-24.061284036980396,-0.6683690010272478,23788,18868,4920,24.307946986031208,25.72441475720208,62.82250130165983
