asset_type,ticker,first_timestamp,final_timestamp,first_datetime,final_datetime,first_close,final_close,underlying_price_change_percent,eligible_minutes,trading_sessions,contribution_count,monthly_contribution,total_contributed,dca_buy_and_hold_final_wealth,dca_buy_and_hold_profit_loss,dca_buy_and_hold_simple_return_percent,dca_buy_and_hold_money_weighted_annual_return_percent,target_net_profit_percent,required_reference_price_rise_percent,final_total_wealth,profit_loss,simple_return_on_contributions_percent,money_weighted_annual_return_percent,cash_flow_adjusted_time_weighted_return_percent,final_cash,open_lots,open_lot_cost_basis,open_liquidation_value,unrealized_pnl_on_open_lots,realized_profit,buys,sales,skipped_buys,participation_percent_of_eligible_minutes,max_open_lots,average_holding_days_closed,maximum_holding_days_closed,oldest_open_lot_age_days,closed_within_1_day_percent,closed_within_7_days_percent,closed_within_30_days_percent,cash_flow_adjusted_maximum_drawdown_percent,maximum_drawdown_timestamp
crypto,BTCUSD,1664496000,1696031940,2022-09-30T00:00:00+00:00,2023-09-29T23:59:00+00:00,19605.0,26911.0,37.266003570517725,525600,365,12,300.0,3600.0,4134.003190392923,534.003190392923,14.833421955358972,28.401283464990346,1.0,1.222444666889122,4108.729875527419,508.7298755274187,14.131385431317177,27.010475011351797,28.777592993676326,0.7300000029243847,4644,4644.0,4107.999875524494,-536.0001244755058,1044.729999999195,109117,104473,416483,20.760464231354643,4644,4.5966678591597825,76.80555555555556,85.62430555555555,57.187981583758486,88.31851291721306,96.40576991184325,27.63897873252073,1669067460
crypto,BTCUSD,1664496000,1696031940,2022-09-30T00:00:00+00:00,2023-09-29T23:59:00+00:00,19605.0,26911.0,37.266003570517725,525600,365,12,300.0,3600.0,4134.003190392923,534.003190392923,14.833421955358972,28.401283464990346,2.0,2.2246470893335424,4332.383840644943,732.3838406449431,20.343995573470643,39.468943329899865,44.21562476356466,0.19999999913426336,4917,4917.0,4332.183840645809,-584.8161593541909,1317.1999999990921,70777,65860,454823,13.465943683409437,4917,8.309940783480108,90.77986111111112,98.3375,34.75098694199818,74.59611296689948,93.81870634679623,27.77972691400153,1669067460
crypto,BTCUSD,1664496000,1696031940,2022-09-30T00:00:00+00:00,2023-09-29T23:59:00+00:00,19605.0,26911.0,37.266003570517725,525600,365,12,300.0,3600.0,4134.003190392923,534.003190392923,14.833421955358972,28.401283464990346,3.0,3.226849511778007,4268.346786316333,668.3467863163332,18.565188508787035,35.867507998102155,42.71809060365446,0.7600000000156797,4844,4844.0,4267.586786316318,-576.4132136836824,1244.7599999991098,46336,41492,479264,8.815829528158295,4844,12.98830048898315,91.18958333333333,168.95486111111111,24.370963077219706,62.34213824351682,90.38127831871203,27.7703644191374,1669067460
crypto,BTCUSD,1664496000,1696031940,2022-09-30T00:00:00+00:00,2023-09-29T23:59:00+00:00,19605.0,26911.0,37.266003570517725,525600,365,12,300.0,3600.0,4134.003190392923,534.003190392923,14.833421955358972,28.401283464990346,4.0,4.22905193422245,4182.722134791589,582.7221347915893,16.186725966433023,31.09471879415028,36.997034493859694,0.9599999995175494,4758,4758.0,4181.762134792072,-576.2378652079278,1158.959999999526,33732,28974,491868,6.417808219178082,4758,17.27228022441576,93.73055555555555,168.9736111111111,17.046317388003036,53.737833920066265,85.43521778145924,27.789004087880116,1669067460
crypto,BTCUSD,1664496000,1696031940,2022-09-30T00:00:00+00:00,2023-09-29T23:59:00+00:00,19605.0,26911.0,37.266003570517725,525600,365,12,300.0,3600.0,4134.003190392923,534.003190392923,14.833421955358972,28.401283464990346,5.0,5.2312543566669145,4276.383289369906,676.3832893699064,18.78842470471962,36.3179911719148,41.57733570450992,0.24999999983538146,4849,4849.0,4276.133289370071,-572.866710629929,1249.2499999994116,29834,24985,495766,5.6761796042617965,4849,20.494600955017454,104.73263888888889,171.92083333333332,10.146087652591556,48.33299979987993,84.20652391434861,27.799318599780324,1669067460
crypto,BTCUSD,1664496000,1696031940,2022-09-30T00:00:00+00:00,2023-09-29T23:59:00+00:00,19605.0,26911.0,37.266003570517725,525600,365,12,300.0,3600.0,4134.003190392923,534.003190392923,14.833421955358972,28.401283464990346,6.0,6.233456779111335,4159.3321401618405,559.3321401618405,15.53700389338446,29.79957041806348,36.591594414882934,0.1399999995728649,4672,4672.0,4159.192140162268,-512.8078598377324,1072.1399999995085,22541,17869,503059,4.2886225266362255,4672,17.702823558490497,93.89027777777778,171.95833333333334,7.152051038110694,44.70871341429291,86.59689965862667,27.802878569099637,1669067460
crypto,BTCUSD,1664496000,1696031940,2022-09-30T00:00:00+00:00,2023-09-29T23:59:00+00:00,19605.0,26911.0,37.266003570517725,525600,365,12,300.0,3600.0,4134.003190392923,534.003190392923,14.833421955358972,28.401283464990346,7.000000000000001,7.2356592015558,4110.922596315999,510.9225963159988,14.19229434211109,27.13096684538271,34.32804697405445,0.799999999886154,4596,4596.0,4110.122596316112,-485.8774036838877,996.800000000303,18836,14240,506764,3.5837138508371384,4596,19.929770989388263,93.89375,172.08055555555555,2.6474719101123596,37.02247191011236,84.53651685393258,27.802878569099697,1669067460
crypto,BTCUSD,1664496000,1696031940,2022-09-30T00:00:00+00:00,2023-09-29T23:59:00+00:00,19605.0,26911.0,37.266003570517725,525600,365,12,300.0,3600.0,4134.003190392923,534.003190392923,14.833421955358972,28.401283464990346,8.0,8.237861624000242,4092.0436896284227,492.0436896284227,13.667880267456178,26.094649435461015,34.40991194054723,0.27999999994409563,4585,4585.0,4091.7636896284785,-493.23631037152154,985.2800000002088,16901,12316,508699,3.215563165905632,4585,23.676751391595396,105.70138888888889,172.08125,2.6063657031503733,27.281584930172134,86.05066580058461,27.802878569099647,1669067460
crypto,BTCUSD,1664496000,1696031940,2022-09-30T00:00:00+00:00,2023-09-29T23:59:00+00:00,19605.0,26911.0,37.266003570517725,525600,365,12,300.0,3600.0,4134.003190392923,534.003190392923,14.833421955358972,28.401283464990346,9.0,9.240064046444685,4122.533383799403,522.533383799403,14.514816216650095,27.769544506116027,35.56690348001397,0.979999999936183,4600,4600.0,4121.553383799467,-478.44661620053284,1000.9800000001103,15722,11122,509878,2.991248097412481,4600,25.2167157435713,113.05555555555556,183.88888888888889,0.008991188635137565,22.388059701492537,79.90469340046754,27.771271808082247,1669067460
crypto,BTCUSD,1664496000,1696031940,2022-09-30T00:00:00+00:00,2023-09-29T23:59:00+00:00,19605.0,26911.0,37.266003570517725,525600,365,12,300.0,3600.0,4134.003190392923,534.003190392923,14.833421955358972,28.401283464990346,10.0,10.242266468889127,4165.802809445127,565.8028094451274,15.716744706809106,30.15748984835457,37.97931373899643,0.3999999998785597,4653,4653.0,4165.402809445249,-487.59719055475125,1053.4000000001374,15187,10534,510413,2.8894596651445967,4653,29.114169527772503,113.19513888888889,183.89513888888888,0.0,23.314980064552877,71.00816404025062,27.783976790619242,1669067460
