asset_type,ticker,first_timestamp,final_timestamp,first_close,final_close,underlying_price_change_percent,eligible_minutes,trading_sessions,buy_and_hold_final_wealth,buy_and_hold_profit_loss,buy_and_hold_return_percent,target_net_profit_percent,required_reference_price_rise_percent,initial_capital,final_cash,open_lots,open_lot_cost_basis,open_liquidation_value,unrealized_pnl_on_open_lots,final_total_wealth,final_profit_loss,return_percent,buys,sales,skipped_buys,participation_percent_of_eligible_minutes,realized_profit_before_final_liquidation,max_open_lots,average_holding_minutes_closed,maximum_holding_minutes_closed,oldest_open_lot_age_minutes,closed_within_1_hour_percent,closed_within_1_day_percent,closed_within_7_days_percent,closed_within_30_days_percent,maximum_drawdown_percent,maximum_drawdown_timestamp
etf,DIA,1664544600,1696017540,291.69,335.0,14.847955020741189,97365,251,687.5734030294107,87.57340302941066,14.595567171568447,1.0,1.222444666889122,600.0,0.5599999999485696,694,694.0,654.6415250968106,-39.3584749031894,655.2015250967592,55.201525096759156,9.200254182793199,10150,9456,87215,10.4246905972372,94.56000000001147,694,29334.917406937395,332191,104018,0.21150592216582065,22.53595600676819,60.10998307952622,91.47631133671743,8.579879731062823,1678899420
etf,DIA,1664544600,1696017540,291.69,335.0,14.847955020741189,97365,251,687.5734030294107,87.57340302941066,14.595567171568447,2.0,2.2246470893335424,600.0,0.1200000000034862,703,703.0,669.4776138047013,-33.522386195298736,669.5976138047048,69.59761380470479,11.59960230078414,5859,5156,91506,6.017562779232784,103.11999999999662,703,54762.634988363076,342395,105428,0.0,6.3809154383242825,47.26532195500388,86.65632273079908,9.195869375395539,1678899420
etf,DIA,1664544600,1696017540,291.69,335.0,14.847955020741189,97365,251,687.5734030294107,87.57340302941066,14.595567171568447,3.0,3.226849511778007,600.0,0.029999999989449577,711,711.0,674.6717386834507,-36.32826131654929,674.7017386834401,74.70173868344011,12.450289780573343,4412,3701,92953,4.5314024546808405,111.03000000000344,711,73146.56336125372,359616,436260,0.0,3.485544447446636,35.17968116725209,78.95163469332613,9.165834950255054,1678899420
etf,DIA,1664544600,1696017540,291.69,335.0,14.847955020741189,97365,251,687.5734030294107,87.57340302941066,14.595567171568447,4.0,4.22905193422245,600.0,0.44000000000108486,718,718.0,684.5409901932263,-33.45900980677368,684.9809901932274,84.9809901932274,14.163498365537897,3679,2961,93686,3.7785651928310995,118.44000000000732,718,68694.25835866261,362671,446708,0.0,0.0,27.929753461668355,81.42519419115163,9.199018651701758,1678899420
etf,DIA,1664544600,1696017540,291.69,335.0,14.847955020741189,97365,251,687.5734030294107,87.57340302941066,14.595567171568447,5.0,5.2312543566669145,600.0,0.3500000000027885,716,716.0,685.1341207597983,-30.865879240201707,685.484120759801,85.48412075980104,14.247353459966838,3043,2327,94322,3.1253530529451035,116.34999999999553,716,85873.90588740868,374325,459507,0.0,0.0,10.399656209712075,80.01718951439622,9.313463531033763,1678899420
etf,DIA,1664544600,1696017540,291.69,335.0,14.847955020741189,97365,251,687.5734030294107,87.57340302941066,14.595567171568447,6.0,6.233456779111335,600.0,0.6000000000019075,714,714.0,683.0809392800252,-30.919060719974823,683.6809392800271,83.68093928002713,13.946823213337844,2624,1910,94741,2.6950136085862475,114.60000000000282,714,105752.02041884817,379999,447835,0.0,0.0,1.1518324607329844,68.95287958115183,9.259130664082514,1678899420
etf,DIA,1664544600,1696017540,291.69,335.0,14.847955020741189,97365,251,687.5734030294107,87.57340302941066,14.595567171568447,7.000000000000001,7.2356592015558,600.0,0.049999999995659294,692,692.0,682.9982529295469,-9.00174707045312,683.0482529295425,83.04825292954251,13.841375488257079,2007,1315,95358,2.061315667847789,92.04999999999751,692,48550.607604562734,382933,468207,0.0,0.0,0.0,94.44866920152091,9.30830048919916,1678899420
etf,DIA,1664544600,1696017540,291.69,335.0,14.847955020741189,97365,251,687.5734030294107,87.57340302941066,14.595567171568447,8.0,8.237861624000242,600.0,0.8399999999992644,699,699.0,684.107823460677,-14.892176539323032,684.9478234606762,84.9478234606762,14.157970576779366,1947,1248,95418,1.9996918810660915,99.83999999999823,699,37131.899839743586,52120,465110,0.0,0.0,0.0,80.04807692307692,9.309644741348269,1678899420
etf,DIA,1664544600,1696017540,291.69,335.0,14.847955020741189,97365,251,687.5734030294107,87.57340302941066,14.595567171568447,9.0,9.240064046444685,600.0,0.860000000002799,712,712.0,687.5981665844303,-24.40183341556974,688.458166584433,88.458166584433,14.74302776407217,1966,1254,95399,2.019206080213629,112.86000000000301,712,115932.14035087719,382982,447843,0.0,0.0,0.0,48.40510366826156,9.0713209562896,1678899420
etf,DIA,1664544600,1696017540,291.69,335.0,14.847955020741189,97365,251,687.5734030294107,87.57340302941066,14.595567171568447,10.0,10.242266468889127,600.0,0.7999999999974996,723,723.0,685.8228396777904,-37.1771603222096,686.6228396777879,86.62283967778785,14.437139946297982,1961,1238,95404,2.0140707646484874,123.79999999999724,723,217283.9143780291,400303,485608,0.0,0.0,0.0,48.46526655896607,9.320667818077162,1678899420
