starting_capital,best_universal_equity_target_percent,best_universal_equity_average_return_percent,best_universal_equity_combined_final_wealth,best_universal_all_nine_target_percent,best_universal_all_nine_average_return_percent,btc_best_target_percent,btc_best_return_percent,btc_best_final_wealth,btc_buy_hold_return_percent
300,9,23.770447945157446,2970.4907506837785,9,25.71271235485683,2.0,41.40449151525365,424.21347454576096,36.96435021152282
600,10,25.028580836309775,6001.3718801428695,10,26.845472873253357,2.0,50.5108157797669,903.0648946786015,36.96435021152282
900,9,24.732972617198783,8980.774028438313,9,26.516874398100196,2.0,51.130542204200836,1360.1748798378076,36.96435021152282
