month,timestamp,close,buys,sales,skipped_buys,realized_profit_this_month,withdrawn_this_month,total_withdrawn,cash,open_lots,open_liquidation_value,account_liquidation_value,total_wealth_including_withdrawals
2020-01,1580515140,9327.85,4387,4047,31613,40.47000000000052,0.0,0.0,0.4699999999826616,340,332.7474996958712,333.2174996958539,333.2174996958539
2020-02,1583020740,8527.74,3300,3267,38460,32.67000000000207,0.0,0.0,0.13999999997336188,373,304.6084865590203,304.7484865589937,304.7484865589937
2020-03,1585699140,6421.14,0,0,44640,0.0,0.0,0.0,0.13999999997336188,373,229.36132402999945,229.5013240299728,229.5013240299728
2020-04,1588291140,8627.32,0,0,43200,0.0,0.0,0.0,0.13999999997336188,373,308.16545629444227,308.30545629441565,308.30545629441565
2020-05,1590969540,9446.19,0,0,44640,0.0,0.0,0.0,0.13999999997336188,373,337.4152635573965,337.55526355736987,337.55526355736987
2020-06,1593561540,9132.96,1,1,43199,0.01,0.0,0.0,0.14999999997336189,373,326.2202910570748,326.3702910570482,326.3702910570482
2020-07,1596239940,11356.74,2078,2058,42562,20.580000000000418,0.0,0.0,0.7299999999656563,393,392.1981516536326,392.9281516535982,392.9281516535982
2020-08,1598918340,11655.0,3680,3643,40960,36.43000000000132,0.0,0.0,0.15999999994849556,430,404.66268199444085,404.8226819943893,404.8226819943893
2020-09,1601510340,10778.22,0,0,43200,0.0,0.0,0.0,0.15999999994849556,430,374.22079899838025,374.3807989983287,374.3807989983287
2020-10,1604188740,13816.08,4368,4325,40272,43.249999999999964,0.0,0.0,0.4099999999260717,473,470.75195562593245,471.1619556258585,471.1619556258585
2020-11,1606780740,19700.19,11932,12312,31268,123.12000000002608,0.0,0.0,503.52999999985104,93,92.98835415860167,596.5183541584527,596.5183541584527
2020-12,1609459140,28992.79,16156,15498,28484,154.98000000000403,0.0,0.0,0.5099999997478619,751,748.0770696304888,748.5870696302367,748.5870696302367
2021-01,1612137540,33141.38,11266,11154,33374,111.54000000002016,0.0,0.0,0.049999999656107796,863,697.6318219714433,697.6818219710993,697.6818219710993
2021-02,1614556740,45240.96,16612,16448,23708,164.47999999999539,0.0,0.0,0.5299999995304674,1027,819.5740526416255,820.1040526411559,820.1040526411559
2021-03,1617235140,58782.58,4766,4719,39874,47.18999999999918,0.0,0.0,0.7199999995036537,1074,1035.0093003185127,1035.7293003180164,1035.7293003180164
2021-04,1619827140,57775.27,3509,3474,39691,34.74000000000166,0.0,0.0,0.45999999948048753,1109,1002.0412747221628,1002.5012747216433,1002.5012747216433
