date,timestamp,close,cash,open_lots,account_liquidation_value,total_withdrawn,total_wealth_including_withdrawals
2020-01-07,1578441540,8159.01,246.52999999999662,60,306.3737054589516,0.0,306.3737054589516
2020-01-08,1578527940,8044.44,0.3799999999956034,308,296.0963394626638,0.0,296.0963394626638
2020-01-09,1578614340,7806.78,0.3799999999956034,308,287.3598773550842,0.0,287.3598773550842
2020-01-10,1578700740,8200.0,0.3799999999956034,308,301.8147777587805,0.0,301.8147777587805
2020-01-11,1578787140,8016.22,0.3799999999956034,308,295.0589627031086,0.0,295.0589627031086
2020-01-12,1578873540,8180.76,0.3799999999956034,308,301.1075088412099,0.0,301.1075088412099
2020-01-13,1578959940,8105.01,0.3799999999956034,308,298.3229131808162,0.0,298.3229131808162
2020-01-14,1579046340,8813.04,238.01999999998935,84,321.7445042853632,0.0,321.7445042853632
2020-01-15,1579132740,8809.17,0.17999999998928917,324,322.96965213679636,0.0,322.96965213679636
2020-01-16,1579219140,8710.15,0.17999999998928917,324,319.34131582876887,0.0,319.34131582876887
2020-01-17,1579305540,8892.63,0.23999999998782862,328,326.2867872823457,0.0,326.2867872823457
2020-01-18,1579391940,8908.53,0.48999999998782684,328,326.90198058121507,0.0,326.90198058121507
2020-01-19,1579478340,8696.6,0.8099999999862462,331,315.2519121885692,0.0,315.2519121885692
2020-01-20,1579564740,8625.17,0.8099999999862462,331,312.66922633574956,0.0,312.66922633574956
2020-01-21,1579651140,8717.89,0.8099999999862462,331,316.0216921382615,0.0,316.0216921382615
2020-01-22,1579737540,8655.93,0.8099999999862462,331,313.781411927696,0.0,313.781411927696
2020-01-23,1579823940,8378.44,0.8099999999862462,331,303.74823962895744,0.0,303.74823962895744
2020-01-24,1579910340,8422.13,0.8099999999862462,331,305.32793366381225,0.0,305.32793366381225
2020-01-25,1579996740,8329.5,0.8099999999862462,331,301.97872198039255,0.0,301.97872198039255
2020-01-26,1580083140,8590.48,0.8099999999862462,331,311.41494421011174,0.0,311.41494421011174
2020-01-27,1580169540,8894.54,0.8099999999862462,331,322.40880477861674,0.0,322.40880477861674
2020-01-28,1580255940,9400.0,311.12999999998465,24,335.1643079307598,0.0,335.1643079307598
2020-01-29,1580342340,9289.18,0.4299999999848154,336,333.5545078566025,0.0,333.5545078566025
2020-01-30,1580428740,9500.0,0.4699999999826616,340,339.3585163366279,0.0,339.3585163366279
2020-01-31,1580515140,9327.85,0.4699999999826616,340,333.2174996958539,0.0,333.2174996958539
2020-02-01,1580601540,9377.17,0.4699999999826616,340,334.97686618277214,0.0,334.97686618277214
2020-02-02,1580687940,9329.39,0.4699999999826616,340,333.2724353079758,0.0,333.2724353079758
2020-02-03,1580774340,9288.09,0.9099999999828157,341,334.22794627838533,0.0,334.22794627838533
2020-02-04,1580860740,9159.37,0.9099999999828157,341,329.6086234633657,0.0,329.6086234633657
2020-02-05,1580947140,9618.42,0.8699999999811894,346,344.23813656543535,0.0,344.23813656543535
2020-02-06,1581033540,9754.63,0.8399999999795682,350,349.11596160723906,0.0,349.11596160723906
2020-02-07,1581119940,9803.42,0.7599999999795415,351,351.323930711834,0.0,351.323930711834
2020-02-08,1581206340,9902.0,117.39999999997889,238,355.4755749568965,0.0,355.4755749568965
2020-02-09,1581292740,10173.97,0.17999999997715577,360,361.6853571269354,0.0,361.6853571269354
2020-02-10,1581379140,9850.01,0.37999999997716216,360,350.1619537271869,0.0,350.1619537271869
2020-02-11,1581465540,10268.98,0.2699999999750844,364,363.412693317735,0.0,363.412693317735
2020-02-12,1581551940,10348.78,0.3699999999731951,370,369.10369281989193,0.0,369.10369281989193
2020-02-13,1581638340,10228.67,0.11999999997336186,373,365.5079989300053,0.0,365.5079989300053
2020-02-14,1581724740,10364.04,0.13999999997336188,373,370.34060872363864,0.0,370.34060872363864
2020-02-15,1581811140,9899.78,0.13999999997336188,373,353.7573714333494,0.0,353.7573714333494
2020-02-16,1581897540,9912.89,0.13999999997336188,373,354.2256569648957,0.0,354.2256569648957
2020-02-17,1581983940,9697.15,0.13999999997336188,373,346.51948453348444,0.0,346.51948453348444
2020-02-18,1582070340,10185.17,0.13999999997336188,373,363.95142237522606,0.0,363.95142237522606
2020-02-19,1582156740,9595.72,0.13999999997336188,373,342.8964333157314,0.0,342.8964333157314
2020-02-20,1582243140,9612.76,0.13999999997336188,373,343.5050973475811,0.0,343.5050973475811
2020-02-21,1582329540,9696.13,0.13999999997336188,373,346.4830504189019,0.0,346.4830504189019
2020-02-22,1582415940,9668.13,0.13999999997336188,373,345.48289825389065,0.0,345.48289825389065
2020-02-23,1582502340,9965.21,0.13999999997336188,373,356.09451272465947,0.0,356.09451272465947
2020-02-24,1582588740,9652.58,0.13999999997336188,373,344.9274566051077,0.0,344.9274566051077
2020-02-25,1582675140,9305.4,0.13999999997336188,373,332.52628415337244,0.0,332.52628415337244
2020-02-26,1582761540,8779.36,0.13999999997336188,373,313.7362825504265,0.0,313.7362825504265
2020-02-27,1582847940,8816.5,0.13999999997336188,373,315.0629129578734,0.0,315.0629129578734
2020-02-28,1582934340,8703.84,0.13999999997336188,373,311.03872928251053,0.0,311.03872928251053
2020-02-29,1583020740,8527.74,0.13999999997336188,373,304.7484865589937,0.0,304.7484865589937
2020-03-01,1583107140,8528.95,0.13999999997336188,373,304.79170742041026,0.0,304.79170742041026
2020-03-02,1583193540,8917.34,0.13999999997336188,373,318.6648895407209,0.0,318.6648895407209
2020-03-03,1583279940,8755.45,0.13999999997336188,373,312.8822240409473,0.0,312.8822240409473
2020-03-04,1583366340,8753.28,0.13999999997336188,373,312.80471224815886,0.0,312.80471224815886
2020-03-05,1583452740,9066.65,0.13999999997336188,373,323.9982009606431,0.0,323.9982009606431
2020-03-06,1583539140,9153.79,0.13999999997336188,373,327.11081737703864,0.0,327.11081737703864
2020-03-07,1583625540,8893.93,0.13999999997336188,373,317.8286908913312,0.0,317.8286908913312
2020-03-08,1583711940,8033.7,0.13999999997336188,373,287.1015160017747,0.0,287.1015160017747
2020-03-09,1583798340,7936.25,0.13999999997336188,373,283.62062927033395,0.0,283.62062927033395
2020-03-10,1583884740,7885.92,0.13999999997336188,373,281.8228557537264,0.0,281.8228557537264
2020-03-11,1583971140,7934.57,0.13999999997336188,373,283.5606201404333,0.0,283.5606201404333
2020-03-12,1584057540,4841.67,0.13999999997336188,373,173.08309759889312,0.0,173.08309759889312
2020-03-13,1584143940,5622.74,0.13999999997336188,373,200.98269943908215,0.0,200.98269943908215
2020-03-14,1584230340,5169.37,0.13999999997336188,373,184.78844990154198,0.0,184.78844990154198
2020-03-15,1584316740,5343.64,0.13999999997336188,373,191.0133255371313,0.0,191.0133255371313
2020-03-16,1584403140,5033.42,0.13999999997336188,373,179.93235394321084,0.0,179.93235394321084
2020-03-17,1584489540,5324.99,0.13999999997336188,373,190.34715275579347,0.0,190.34715275579347
2020-03-18,1584575940,5406.92,0.13999999997336188,373,193.2736694300566,0.0,193.2736694300566
2020-03-19,1584662340,6181.18,0.13999999997336188,373,220.93001997582687,0.0,220.93001997582687
2020-03-20,1584748740,6210.14,0.13999999997336188,373,221.9644630722099,0.0,221.9644630722099
2020-03-21,1584835140,6187.78,0.13999999997336188,373,221.16577012900805,0.0,221.16577012900805
2020-03-22,1584921540,5813.15,0.13999999997336188,373,207.7840913583601,0.0,207.7840913583601
