date,timestamp,close,cash,open_lots,account_liquidation_value,total_withdrawn,total_wealth_including_withdrawals
2020-01-07,1578441540,8159.01,246.52999999999662,60,306.3737054589516,0.0,306.3737054589516
2020-01-08,1578527940,8044.44,0.3799999999956034,308,296.0963394626638,0.0,296.0963394626638
2020-01-09,1578614340,7806.78,0.3799999999956034,308,287.3598773550842,0.0,287.3598773550842
2020-01-10,1578700740,8200.0,0.3799999999956034,308,301.8147777587805,0.0,301.8147777587805
2020-01-11,1578787140,8016.22,0.3799999999956034,308,295.0589627031086,0.0,295.0589627031086
2020-01-12,1578873540,8180.76,0.3799999999956034,308,301.1075088412099,0.0,301.1075088412099
2020-01-13,1578959940,8105.01,0.3799999999956034,308,298.3229131808162,0.0,298.3229131808162
2020-01-14,1579046340,8813.04,238.01999999998935,84,321.7445042853632,0.0,321.7445042853632
2020-01-15,1579132740,8809.17,0.17999999998928917,324,322.96965213679636,0.0,322.96965213679636
2020-01-16,1579219140,8710.15,0.17999999998928917,324,319.34131582876887,0.0,319.34131582876887
2020-01-17,1579305540,8892.63,0.23999999998782862,328,326.2867872823457,0.0,326.2867872823457
2020-01-18,1579391940,8908.53,0.48999999998782684,328,326.90198058121507,0.0,326.90198058121507
2020-01-19,1579478340,8696.6,0.8099999999862462,331,315.2519121885692,0.0,315.2519121885692
2020-01-20,1579564740,8625.17,0.8099999999862462,331,312.66922633574956,0.0,312.66922633574956
2020-01-21,1579651140,8717.89,0.8099999999862462,331,316.0216921382615,0.0,316.0216921382615
2020-01-22,1579737540,8655.93,0.8099999999862462,331,313.781411927696,0.0,313.781411927696
2020-01-23,1579823940,8378.44,0.8099999999862462,331,303.74823962895744,0.0,303.74823962895744
2020-01-24,1579910340,8422.13,0.8099999999862462,331,305.32793366381225,0.0,305.32793366381225
2020-01-25,1579996740,8329.5,0.8099999999862462,331,301.97872198039255,0.0,301.97872198039255
2020-01-26,1580083140,8590.48,0.8099999999862462,331,311.41494421011174,0.0,311.41494421011174
2020-01-27,1580169540,8894.54,0.8099999999862462,331,322.40880477861674,0.0,322.40880477861674
2020-01-28,1580255940,9400.0,311.12999999998465,24,335.1643079307598,0.0,335.1643079307598
2020-01-29,1580342340,9289.18,0.4299999999848154,336,333.5545078566025,0.0,333.5545078566025
2020-01-30,1580428740,9500.0,0.4699999999826616,340,339.3585163366279,0.0,339.3585163366279
2020-01-31,1580515140,9327.85,0.0,340,332.7474996958712,0.4699999999826616,333.2174996958539
2020-02-01,1580601540,9377.17,0.0,340,334.50686618278945,0.4699999999826616,334.97686618277214
2020-02-02,1580687940,9329.39,0.0,340,332.8024353079931,0.4699999999826616,333.2724353079758
2020-02-03,1580774340,9288.09,0.44000000000015405,341,333.7579462784027,0.4699999999826616,334.2279462783854
2020-02-04,1580860740,9159.37,0.44000000000015405,341,329.13862346338306,0.4699999999826616,329.6086234633657
2020-02-05,1580947140,9618.42,0.3799999999985175,346,343.7481365654526,0.4699999999826616,344.2181365654353
2020-02-06,1581033540,9754.63,0.34999999999689635,350,348.62596160725633,0.4699999999826616,349.095961607239
2020-02-07,1581119940,9803.42,0.26999999999688384,351,350.84283945281516,0.4699999999826616,351.3128394527978
2020-02-08,1581206340,9902.0,116.91999999999624,238,354.9955749569138,0.4699999999826616,355.4655749568965
2020-02-09,1581292740,10173.97,0.6999999999944748,359,361.1978729700099,0.4699999999826616,361.6678729699926
2020-02-10,1581379140,9850.01,0.8899999999944797,359,349.7047854738098,0.4699999999826616,350.17478547379244
2020-02-11,1581465540,10268.98,0.7699999999923648,363,362.91245385275244,0.4699999999826616,363.3824538527351
2020-02-12,1581551940,10348.78,0.859999999990442,369,368.59786497205044,0.4699999999826616,369.06786497203314
2020-02-13,1581638340,10228.67,0.5699999999906018,372,364.96253168801525,0.4699999999826616,365.4325316879979
2020-02-14,1581724740,10364.04,0.5899999999906018,372,369.7819671001747,0.4699999999826616,370.25196710015734
2020-02-15,1581811140,9899.78,0.5899999999906018,372,353.24391218665335,0.4699999999826616,353.713912186636
2020-02-16,1581897540,9912.89,0.5899999999906018,372,353.71092183623813,0.4699999999826616,354.1809218362208
2020-02-17,1581983940,9697.15,0.5899999999906018,372,346.02574549745583,0.4699999999826616,346.4957454974385
2020-02-18,1582070340,10185.17,0.5899999999906018,372,363.4101886088518,0.4699999999826616,363.8801886088345
2020-02-19,1582156740,9595.72,0.5899999999906018,372,342.4125655769836,0.4699999999826616,342.8825655769663
2020-02-20,1582243140,9612.76,0.5899999999906018,372,343.0195712542472,0.4699999999826616,343.4895712542299
2020-02-21,1582329540,9696.13,0.5899999999906018,372,345.9894106505774,0.4699999999826616,346.45941065056
2020-02-22,1582415940,9668.13,0.5899999999906018,372,344.99198348136485,0.4699999999826616,345.4619834813475
2020-02-23,1582502340,9965.21,0.5899999999906018,372,355.5746857467096,0.4699999999826616,356.04468574669227
2020-02-24,1582588740,9652.58,0.5899999999906018,372,344.43805517846295,0.4699999999826616,344.9080551784456
2020-02-25,1582675140,9305.4,0.5899999999906018,372,332.0706707282059,0.4699999999826616,332.5406707281886
2020-02-26,1582761540,8779.36,0.5899999999906018,372,313.33186401061505,0.4699999999826616,313.8018640105977
2020-02-27,1582847940,8816.5,0.5899999999906018,372,314.6548799057776,0.4699999999826616,315.1248799057603
2020-02-28,1582934340,8703.84,0.5899999999906018,372,310.6416604456533,0.4699999999826616,311.11166044563595
2020-02-29,1583020740,8527.74,0.0,372,303.7785559992941,1.0599999999732634,304.8385559992674
2020-03-01,1583107140,8528.95,0.0,372,303.82165910196363,1.0599999999732634,304.8816591019369
2020-03-02,1583193540,8917.34,0.0,372,317.65704261090804,1.0599999999732634,318.7170426108813
2020-03-03,1583279940,8755.45,0.0,372,311.89013245291477,1.0599999999732634,312.95013245288806
2020-03-04,1583366340,8753.28,0.0,372,311.8128318473008,1.0599999999732634,312.8728318472741
2020-03-05,1583452740,9066.65,0.0,372,322.9758229907337,1.0599999999732634,324.035822990707
2020-03-06,1583539140,9153.79,0.0,372,326.07995883091866,1.0599999999732634,327.13995883089194
2020-03-07,1583625540,8893.93,0.0,372,316.8231222526486,1.0599999999732634,317.8831222526219
2020-03-08,1583711940,8033.7,0.0,372,286.17966604651747,1.0599999999732634,287.23966604649075
2020-03-09,1583798340,7936.25,0.0,372,282.70826327366893,1.0599999999732634,283.7682632736422
2020-03-10,1583884740,7885.92,0.0,372,280.9153879370095,1.0599999999732634,281.97538793698277
2020-03-11,1583971140,7934.57,0.0,372,282.64841764351615,1.0599999999732634,283.70841764348944
2020-03-12,1584057540,4841.67,0.0,372,172.47190008432506,1.0599999999732634,173.53190008429831
2020-03-13,1584143940,5622.74,0.0,372,200.29548719349683,1.0599999999732634,201.35548719347008
2020-03-14,1584230340,5169.37,0.0,372,184.14536020400138,1.0599999999732634,185.20536020397464
2020-03-15,1584316740,5343.64,0.0,372,190.35327566038222,1.0599999999732634,191.41327566035548
2020-03-16,1584403140,5033.42,0.0,372,179.30249507348566,1.0599999999732634,180.36249507345892
2020-03-17,1584489540,5324.99,0.0,372,189.68891792088888,1.0599999999732634,190.74891792086214
2020-03-18,1584575940,5406.92,0.0,372,192.60746106280246,1.0599999999732634,193.66746106277571
2020-03-19,1584662340,6181.18,0.0,372,220.1884596354622,1.0599999999732634,221.24845963543547
