month,timestamp,close,buys,sales,skipped_buys,realized_profit_this_month,withdrawn_this_month,total_withdrawn,cash,open_lots,open_liquidation_value,account_liquidation_value,total_wealth_including_withdrawals
2021-05,1622505540,37341.41,0,0,44640,0.0,0.0,298.59999999966703,0.0,618,358.8400667206309,358.8400667206309,657.4400667202979
2021-06,1625097540,35037.23,0,0,43200,0.0,0.0,298.59999999966703,0.0,618,336.6975684878019,336.6975684878019,635.2975684874689
2021-07,1627775940,41490.13,0,0,44640,0.0,0.0,298.59999999966703,0.0,618,398.70805675114156,398.70805675114156,697.3080567508086
2021-08,1630454340,47156.09,0,0,44640,0.0,0.0,298.59999999966703,0.0,618,453.15628097289505,453.15628097289505,751.7562809725621
2021-09,1633046340,43834.43,0,0,43200,0.0,0.0,298.59999999966703,0.0,618,421.23609649075445,421.23609649075445,719.8360964904215
2021-10,1635724740,61359.44,911,902,43729,9.019999999999852,0.019999999995448547,298.61999999966247,0.0,627,578.7114332450188,578.7114332450188,877.3314332446813
2021-11,1638316740,56974.12,1552,1537,41648,15.369999999999717,0.36999999999032696,298.9899999996528,0.0,642,538.8614813907075,538.8614813907075,837.8514813903603
2021-12,1640995140,46214.37,0,0,44640,0.0,0.0,298.9899999996528,0.0,642,437.09571784063127,437.09571784063127,736.0857178402841
2022-01,1643673540,38491.92,0,0,44640,0.0,0.0,298.9899999996528,0.0,642,364.05675125429923,364.05675125429923,663.046751253952
2022-02,1646092740,43178.98,0,0,40320,0.0,0.0,298.9899999996528,0.0,642,408.38698566541666,408.38698566541666,707.3769856650695
2022-03,1648771140,45517.27,0,0,44640,0.0,0.0,298.9899999996528,0.0,642,430.5025429275749,430.5025429275749,729.4925429272278
2022-04,1651363140,37639.8,0,0,43200,0.0,0.0,298.9899999996528,0.0,642,355.9973964889664,355.9973964889664,654.9873964886192
2022-05,1654041540,31762.76,0,0,44640,0.0,0.0,298.9899999996528,0.0,642,300.4123259237265,300.4123259237265,599.4023259233793
2022-06,1656633540,19924.89,0,0,43200,0.0,0.0,298.9899999996528,0.0,642,188.4496985990638,188.4496985990638,487.43969859871663
2022-07,1659311940,23322.53,0,0,44640,0.0,0.0,298.9899999996528,0.0,642,220.58459289198697,220.58459289198697,519.5745928916398
2022-08,1661990340,20059.0,0,0,44640,0.0,0.0,298.9899999996528,0.0,642,189.71811157796208,189.71811157796208,488.7081115776149
2022-09,1664582340,19425.0,0,0,43200,0.0,0.0,298.9899999996528,0.0,642,183.7217367466929,183.7217367466929,482.7117367463457
2022-10,1667260740,20498.0,0,0,44640,0.0,0.0,298.9899999996528,0.0,642,193.870175538415,193.870175538415,492.8601755380678
2022-11,1669852740,17170.0,0,0,43200,0.0,0.0,298.9899999996528,0.0,642,162.3939366764848,162.3939366764848,461.38393667613764
2022-12,1672531140,16528.0,0,0,44640,0.0,0.0,298.9899999996528,0.0,642,156.32189780948985,156.32189780948985,455.3118978091427
2023-01,1675209540,23127.0,0,0,44640,0.0,0.0,298.9899999996528,0.0,642,218.73526927880397,218.73526927880397,517.7252692784568
2023-02,1677628740,23136.0,0,0,40320,0.0,0.0,298.9899999996528,0.0,642,218.82039131899546,218.82039131899546,517.8103913186483
2023-03,1680307140,28476.0,0,0,44640,0.0,0.0,298.9899999996528,0.0,642,269.3261351659628,269.3261351659628,568.3161351656156
2023-04,1682899140,29235.0,0,0,43200,0.0,0.0,298.9899999996528,0.0,642,276.5047605554475,276.5047605554475,575.4947605551004
2023-05,1685577540,27219.0,0,0,44640,0.0,0.0,298.9899999996528,0.0,642,257.43742355254744,257.43742355254744,556.4274235522003
2023-06,1688169540,30469.0,0,0,43200,0.0,0.0,298.9899999996528,0.0,642,288.17593806615116,288.17593806615116,587.165938065804
2023-07,1690847940,29231.0,0,0,44640,0.0,0.0,298.9899999996528,0.0,642,276.4669285375846,276.4669285375846,575.4569285372374
2023-08,1693526340,25932.0,0,0,44640,0.0,0.0,298.9899999996528,0.0,642,245.2649718051604,245.2649718051604,544.2549718048132
2023-09,1696118340,26966.0,0,0,43200,0.0,0.0,298.9899999996528,0.0,642,255.0445484227192,255.0445484227192,554.034548422372
